5, 4
5, 5
5, 6
5, 7
5, 8
5, 9
5, 10
5, 11
5, 12
5, 13
5, 14
5, 15
5, 16
5, 17
5, 18
5, 19
5, 20
5, 21
5, 22
5, 23
5, 24
5, 25
5, 26
5, 27
5, 28
5, 29
5, 30
5, 31
5, 32
5, 33
5, 34
5, 35
5, 36
5, 37
5, 38
5, 39
5, 40
5, 41
5, 42
5, 43
5, 44
5, 45
5, 46
5, 47
5, 48
5, 49
5, 50
5, 51
5, 52
5, 53
6, 4
6, 53
7, 4
7, 53
8, 4
8, 15
8, 16
8, 17
8, 18
8, 19
8, 20
8, 21
8, 22
8, 23
8, 24
8, 25
8, 26
8, 27
8, 28
8, 29
8, 30
8, 31
8, 32
8, 33
8, 34
8, 35
8, 36
8, 37
8, 38
8, 39
8, 40
8, 41
8, 42
8, 43
8, 44
8, 45
8, 46
8, 47
8, 48
8, 49
8, 50
8, 51
8, 52
8, 53
8, 54
8, 55
8, 56
8, 57
8, 58
8, 59
8, 60
8, 61
8, 62
8, 63
8, 64
8, 65
8, 66
8, 67
8, 68
8, 69
8, 70
8, 71
8, 72
8, 73
8, 74
8, 75
8, 76
8, 77
8, 78
8, 79
8, 80
8, 81
8, 82
8, 83
8, 84
8, 85
8, 86
8, 87
8, 88
8, 89
8, 90
8, 91
8, 92
8, 93
8, 94
8, 95
8, 96
8, 97
8, 98
8, 99
8, 100
8, 101
8, 102
8, 103
8, 104
8, 105
8, 106
8, 107
8, 108
9, 4
9, 15
9, 53
9, 108
10, 4
10, 15
10, 53
10, 108
11, 4
11, 15
11, 53
11, 108
12, 4
12, 15
12, 53
12, 108
13, 4
13, 15
13, 30
13, 31
13, 32
13, 33
13, 34
13, 35
13, 36
13, 37
13, 38
13, 39
13, 40
13, 41
13, 42
13, 43
13, 44
13, 45
13, 46
13, 47
13, 48
13, 49
13, 50
13, 51
13, 52
13, 53
13, 54
13, 55
13, 56
13, 57
13, 58
13, 59
13, 60
13, 61
13, 62
13, 63
13, 64
13, 65
13, 66
13, 67
13, 68
13, 69
13, 70
13, 71
13, 72
13, 73
13, 108
14, 4
14, 15
14, 30
14, 53
14, 73
14, 108
15, 4
15, 15
15, 30
15, 53
15, 73
15, 108
16, 4
16, 15
16, 24
16, 25
16, 26
16, 27
16, 28
16, 29
16, 30
16, 31
16, 32
16, 33
16, 34
16, 35
16, 36
16, 37
16, 38
16, 39
16, 40
16, 41
16, 42
16, 43
16, 44
16, 45
16, 46
16, 47
